SPECIESID,iucn_category,iucn_criteria,iucn_population_trend,iucn_published_year
Fis-50410,LC,NA,Unknown,2015
Fis-50418,LC,NA,Unknown,2010
Fis-50433,NA,NA,NA,NA
Fis-50449,LC,NA,Unknown,2015
Fis-50458,LC,NA,Unknown,2015
Fis-50459,LC,NA,Unknown,2010
Fis-50462,DD,NA,Unknown,2015
Fis-50465,LC,NA,Unknown,2010
Fis-50466,LC,NA,Unknown,2015
Fis-50469,LC,NA,Unknown,2015
Fis-50483,LC,NA,Unknown,2015
Fis-50491,LC,NA,Unknown,2015
Fis-50544,LC,NA,Unknown,2015
Fis-168166,LC,NA,Unknown,2015
Fis-50569,LC,NA,Unknown,2015
Fis-50600,DD,NA,Unknown,2015
Fis-50614,LC,NA,Unknown,2015
Fis-50623,LC,NA,Unknown,2015
Fis-50631,NA,NA,NA,NA
Fis-50633,LC,NA,Unknown,2015
Fis-50714,LC,NA,Unknown,2015
Fis-50764,LC,NA,Unknown,2015
Fis-50837,LC,NA,Unknown,2015
Fis-51000,DD,NA,Unknown,2015
Fis-51001,DD,NA,Unknown,2015
Fis-137727,NA,NA,NA,NA
Fis-52346,NA,NA,NA,NA
Fis-52852,NA,NA,NA,NA
Fis-52857,NA,NA,NA,NA
Fis-52878,NA,NA,NA,NA
Fis-52894,NA,NA,NA,NA
Fis-52904,NA,NA,NA,NA
Fis-52908,NA,NA,NA,NA
Fis-52942,NA,NA,NA,NA
Fis-53158,NA,NA,NA,NA
Fis-53159,NA,NA,NA,NA
Fis-53257,NA,NA,NA,NA
Fis-53396,NA,NA,NA,NA
Fis-136002,LC,NA,Unknown,2016
Fis-53728,NA,NA,NA,NA
Fis-53729,NA,NA,NA,NA
Fis-53882,NA,NA,NA,NA
Fis-120888,NA,NA,NA,NA
Fis-55519,NA,NA,NA,NA
Fis-55650,NA,NA,NA,NA
Fis-55717,NA,NA,NA,NA
Fis-55964,NA,NA,NA,NA
Fis-56023,NA,NA,NA,NA
Fis-56411,NA,NA,NA,NA
Fis-56424,NA,NA,NA,NA
Fis-56463,NA,NA,NA,NA
W-Msc-386343,NA,NA,NA,NA
Fis-56464,NA,NA,NA,NA
Fis-56567,NA,NA,NA,NA
Fis-140586,NA,NA,NA,NA
Fis-57574,NA,NA,NA,NA
Fis-57663,NA,NA,NA,NA
Fis-59915,LC,NA,Unknown,2015
Fis-140932,NA,NA,NA,NA
Fis-62376,NA,NA,NA,NA
Fis-62377,NA,NA,NA,NA
Fis-62379,NA,NA,NA,NA
Fis-62407,LC,NA,Unknown,2010
Fis-143857,NA,NA,NA,NA
Fis-62410,NA,NA,NA,NA
Fis-62423,NA,NA,NA,NA
Fis-62428,LC,NA,Unknown,2015
Fis-63101,NA,NA,NA,NA
Fis-64711,NA,NA,NA,NA
Fis-64719,LC,NA,Unknown,2015
Fis-114098,NA,NA,NA,NA
Fis-114124,NA,NA,NA,NA
Fis-114525,NA,NA,NA,NA
Fis-114556,NA,NA,NA,NA
Fis-115798,NA,NA,NA,NA
Fis-115986,NA,NA,NA,NA
Fis-120908,NA,NA,NA,NA
Fis-123959,NA,NA,NA,NA
Fis-124376,NA,NA,NA,NA
Fis-125170,NA,NA,NA,NA
Fis-125182,LC,NA,Unknown,2015
Fis-125893,LC,NA,Unknown,2015
Fis-125897,NA,NA,NA,NA
Fis-127016,NA,NA,NA,NA
Fis-127447,NA,NA,NA,NA
Fis-131936,NA,NA,NA,NA
Fis-132477,NA,NA,NA,NA
Fis-132487,NA,NA,NA,NA
Fis-132563,NA,NA,NA,NA
Fis-132814,LC,NA,Unknown,2010
Fis-133512,NA,NA,NA,NA
Fis-149523,NA,NA,NA,NA
Fis-134163,NA,NA,NA,NA
Fis-138405,NA,NA,NA,NA
Fis-138460,LC,NA,Unknown,2015
Fis-139428,NA,NA,NA,NA
Fis-139713,LC,NA,Unknown,2015
Fis-143083,NA,NA,NA,NA
Fis-142342,LC,NA,Unknown,2010
Fis-143438,NA,NA,NA,NA
Fis-143843,NA,NA,NA,NA
Fis-143867,LC,NA,Unknown,2010
Fis-143868,NA,NA,NA,NA
Fis-144245,NA,NA,NA,NA
Fis-144528,NA,NA,NA,NA
Fis-144530,NA,NA,NA,NA
Fis-144532,NA,NA,NA,NA
Fis-144660,NA,NA,NA,NA
Fis-145225,NA,NA,NA,NA
Fis-21671,LC,NA,Unknown,2016
